laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E07000203,MID SUFFOLK,39.8,44.7,1000,5.3,19.5,56.3,60.2,370.2,9.8,10.5,220,1,3,13.6,14.7,97.9,560,1354,2174,8589,24076,298,24374,0.4,0.2,0.2,0.3,0.4,0.4,0.6
E07000228,MID SUSSEX,40,52.7,1000,6.1,18.9,60.1,68.1,391.5,10,12,180,1,2.8,14.1,15.9,91,315,1119,3149,11500,38176,951,39127,0.4,0.2,0.1,0.3,0.5,0.5,0.5
N09000009,MID ULSTER,39.7,41.6,550,4.8,18.9,59.1,60.4,331.8,8.3,9.2,75,0.9,2.5,13.8,14,47.7,1262,2645,3252,10067,26164,122,26286,0.4,0.2,0.2,0.3,0.5,0.5,0.8
E06000002,MIDDLESBROUGH,107,98.1,1000,5.8,17.6,107.4,127.7,373.8,10,11.3,115,0.9,1.9,13,14.6,34.5,407,1668,3136,7167,33088,2722,35810,0.4,0.2,0.2,0.3,0.5,0.5,0.6
S12000019,MIDLOTHIAN,40,55,1124,5.4,19.2,62.2,73.9,404.5,10,10.5,115,1,3,13.5,14.3,36.5,390,1250,2046,7128,22424,794,23218,0.6,0.4,0.1,0.3,0.6,0.6,0.6
E06000042,MILTON KEYNES,54.8,80.2,2480.86,4.9,19.1,66.6,99.1,488.3,10,37,1000,0.8,2.8,19.9,46.8,367.8,1152,4400,4362,11469,70710,5917,76627,0.6,0.4,0.1,0.3,0.6,0.6,0.7
E07000210,MOLE VALLEY,48.8,69.8,2363.9,5.9,19.2,77,91.5,383,10,11.4,115,1,3,13.9,15,36.6,209,734,1633,6795,22287,1115,23402,0.4,0.2,0.1,0.3,0.4,0.5,0.6
W06000021,MONMOUTHSHIRE,39.1,43.2,1000,5.3,18.3,59.4,61.9,403.6,9.8,9.8,115,0.9,2.5,14.4,14.7,54.8,683,1785,2767,7510,20427,150,20577,0.4,0.2,0.1,0.2,0.5,0.5,1
S12000020,MORAY,38.9,39,1000,5.2,19.3,54.5,55.3,397.8,8.2,8.8,115,0.9,2.7,13.1,13.2,56.3,699,1818,2623,8843,21419,46,21465,0.4,0.2,0.1,0.3,0.5,0.5,0.8
S12000013,NA H-EILEANAN SIAR,38,39.6,330,5.1,19.8,54.4,54.8,330,8.3,8.8,50,0.9,3.1,12.7,12.8,50,241,406,651,2690,6398,10,6408,0.4,0.2,0.1,0.3,0.4,0.4,0.6
W06000012,NEATH PORT TALBOT,55.2,77.7,550,5.5,19.1,85,98,380.5,10,11.3,75,1,2.6,13.4,14.3,34.6,379,1336,2263,8350,36429,1683,38112,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000091,NEW FOREST,39.8,48.5,1000,5.8,19,61.8,66.5,377.7,9.8,9.8,115,0.9,2.7,13.5,13.8,36.8,777,2154,4726,15453,42946,651,43597,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E07000175,NEWARK AND SHERWOOD,52.2,70.7,2480.86,5.4,19.6,77.3,88.3,387.2,10,11.4,115,1,3.1,13.5,14.3,35.5,372,1250,1825,7117,32053,1189,33242,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E08000021,NEWCASTLE UPON TYNE,54.8,72.9,1000,6.2,17.7,81.9,93.4,370.4,10,11.4,180,1,2.1,13.8,14.7,37,440,2082,5418,17070,69123,2873,71996,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E07000195,NEWCASTLE-UNDER-LYME,54.8,76.1,1000,5.8,18.9,82.3,95.9,387.3,10,11.6,115,1,3.1,13.5,14.5,35.3,276,1307,2295,6625,31373,1458,32831,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E09000025,NEWHAM,65.7,77.5,1000,6.3,16.3,82.8,96.7,364,10,13.8,180,0.9,2,14.8,17.3,67.1,495,2102,6289,11436,65712,3427,69139,0.6,0.4,0.2,0.3,0.6,0.6,0.7
W06000022,NEWPORT,61.2,82.3,1000,5.8,18.2,87.3,102.1,381.6,10,12.1,115,0.9,2.6,14,15,35.2,406,1614,3188,6822,40229,2123,42352,0.4,0.2,0.1,0.3,0.5,0.5,0.6
N09000010,"NEWRY, MOURNE AND DOWN",39.8,42.7,330,4.8,18.9,59.3,60.1,330,9.4,9.5,50,0.9,2.4,14,14.1,46.3,1389,2948,3497,13232,35071,112,35183,0.4,0.2,0.2,0.3,0.6,0.6,0.9
S12000021,NORTH AYRSHIRE,39.1,50.8,1000,6,18.9,62.9,70.5,380.3,9.8,9.7,115,1,2.7,13.3,13.9,34.8,410,1352,3372,14044,33443,826,34269,0.6,0.2,0.2,0.4,0.6,0.6,0.6
E07000043,NORTH DEVON,39.8,42.1,1000,5.1,19.1,56.9,58.1,375.1,9.9,9.7,115,0.9,2.4,14,14.1,51.8,758,1825,2502,8288,23647,84,23731,0.4,0.2,0.1,0.3,0.5,0.5,0.8
E07000038,NORTH EAST DERBYSHIRE,39.8,46.8,1000,5.1,19.5,58.8,63.5,404.4,9.8,9.8,115,0.9,3.1,13.3,13.7,37.3,520,1833,2316,7397,23360,327,23687,0.4,0.2,0.1,0.3,0.5,0.5,0.5
E06000012,NORTH EAST LINCOLNSHIRE,107,104.2,1000,6.2,17.4,106.7,128.3,382.6,10,12.3,115,1,1.9,13.6,15.2,34.4,271,1088,2850,7790,41483,3524,45007,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E07000099,NORTH HERTFORDSHIRE,62.9,83,1000,5.8,18.8,88.5,103.7,380.5,10,11.8,220,1,2.3,13.6,14.9,37.9,305,844,1961,8537,36138,1978,38116,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E07000139,NORTH KESTEVEN,51.1,66.5,1000,5.1,19.6,72.5,83.6,380,10,12.3,180,0.9,2.9,13.7,15.6,66.4,491,1252,1717,7234,31099,1167,32266,0.4,0.2,0.1,0.3,0.4,0.4,0.5
S12000050,NORTH LANARKSHIRE,69.7,94,1000,5.6,18.7,92.6,114.4,383.4,10,12.7,115,0.9,2.7,13.9,15.4,34.7,771,3117,5619,16692,94627,7678,102305,0.6,0.4,0.1,0.3,0.5,0.5,0.6
E06000013,NORTH LINCOLNSHIRE,53.4,69.7,1000,4.9,19.4,78,87.9,378.8,10,11.3,115,0.9,2.8,13.6,14.3,34.9,757,1873,2306,9580,42705,1454,44159,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E07000147,NORTH NORFOLK,39.1,40.9,1000,5.2,19.5,55.5,56.3,372.5,8.9,9.2,115,0.9,2.7,13.3,13.4,53.2,584,1681,2245,11450,26377,63,26440,0.2,0.2,0.1,0.2,0.4,0.4,0.7
E06000024,NORTH SOMERSET,40,56.6,1000,5.9,18.3,70.1,79.1,386.7,10,10.9,1000,0.9,2.5,13.9,15.6,74.6,696,2804,6144,17678,50185,1471,51656,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E08000022,NORTH TYNESIDE,57.3,78.2,1000,5.8,18.2,86,99,379.6,10,11.6,180,0.9,2.5,13.7,14.7,35,525,2625,4988,10997,57435,2661,60096,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000218,NORTH WARWICKSHIRE,41,53.9,1124,5.1,18.9,63.8,69.3,390,10,10.9,115,1,2.6,14,14.4,38.4,275,809,1073,4354,16412,280,16692,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E07000134,NORTH WEST LEICESTERSHIRE,56.9,81.1,1000,5.3,19.3,85.1,100.9,377.9,10,11.8,115,1,3,13.5,14.6,34.9,274,1013,1464,5826,27211,1554,28765,0.4,0.2,0.2,0.3,0.5,0.5,0.7
E07000154,NORTHAMPTON,68.8,88.7,2480.86,6.2,17.3,92.4,108.8,375,10,13.1,900,1,2.4,14,16,48.9,421,1836,4935,9740,60450,3728,64178,0.4,0.2,0.1,0.3,0.3,0.3,0
E06000057,NORTHUMBERLAND,39.8,42.8,1000,5.5,19.2,55.7,56.9,364.3,9.8,9.9,220,0.9,2.7,13.6,13.8,51.5,1548,4326,7488,27443,80675,320,80995,0.4,0.2,0.1,0.3,0.5,0.5,0.8
E07000148,NORWICH,66.8,85.2,484,6.2,18.2,90,103.1,371.7,10,12,50,1,2.5,13.6,14.5,34.3,180,1014,2717,6625,40280,1966,42246,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E06000018,NOTTINGHAM,79.7,96.4,1000,6,17.9,100.7,117,372.4,10,12.1,115,0.9,2.1,13.4,14.7,34.4,472,2187,5113,12140,75772,4833,80605,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000219,NUNEATON AND BEDWORTH,68.3,85.5,1124,5.6,18.5,87.8,102.9,403.2,10,12.5,115,0.9,2.9,13.9,14.9,35.4,271,1316,2101,5312,35554,1794,37348,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000135,OADBY AND WIGSTON,59.8,81.8,484,6.4,18.3,87,102.3,380.3,10,11.8,50,1,2.5,13.6,14.7,34.4,80,327,1060,3053,14061,777,14838,0.4,0.2,0.2,0.4,0.5,0.5,0.6
E08000004,OLDHAM,63.6,80.1,1000,5.8,18.7,82.3,96.3,388.5,10,12.2,220,0.9,3.1,13.6,14.6,34.8,505,2045,4325,7858,58621,2809,61430,0.6,0.4,0.1,0.3,0.5,0.5,0.6
S12000023,ORKNEY ISLANDS,27.1,33.2,330,5.1,18.9,55.7,56.1,330,6.9,7.7,50,0.6,2.4,13,13,50,383,629,1112,2239,3990,6,3996,0.2,0.2,0.1,0.2,0.4,0.4,0.8
E07000178,OXFORD,72.7,88.9,484,6.1,18,91.7,106.8,366.1,10,12.5,250,0.9,2.6,13.9,15,34.5,194,908,2245,5740,36056,2103,38159,0.4,0.2,0.2,0.3,0.4,0.4,0.6
W06000009,PEMBROKESHIRE,39.9,44.2,1000,5,18.9,58.9,59.8,383.1,10,9.9,115,0.9,2.5,13.8,13.9,52.4,986,2322,2980,8684,29814,84,29898,0.4,0.2,0.1,0.2,0.4,0.4,0.8
E07000122,PENDLE,48.9,63.6,1124,5.9,18.3,75.3,82.6,394.7,10,10.7,50,1,2.1,13.7,14.2,35.2,199,609,1417,6347,21444,503,21947,0.4,0.2,0.1,0.2,0.5,0.5,0.7
S12000048,PERTH AND KINROSS,39.9,56.8,1000,5.2,19.1,72.8,81,380.4,9.8,9.5,220,0.9,2.4,13.2,13.8,35.5,1087,2502,3770,13846,36162,995,37157,0.4,0.2,0.2,0.3,0.4,0.4,0.6
E06000031,PETERBOROUGH,63.7,98.4,1000,5.6,19.2,86.1,119.9,408.6,10,29.9,1000,0.9,3.1,17,36.9,206.9,458,1854,3198,9010,51207,5992,57199,0.4,0.2,0.2,0.4,0.4,0.4,0.6
E06000026,PLYMOUTH,75.6,94.4,1000,5.9,18.2,98.1,116,378,10,12.2,115,0.9,2.5,13.6,14.9,34.6,517,2169,4505,12806,69928,4785,74713,0.4,0.2,0.2,0.4,0.4,0.4,0.6
E06000044,PORTSMOUTH,78.1,97.4,1000,5.8,17.4,100,117.2,376.2,10,12.8,115,0.9,2.1,14.1,15.4,34.5,404,1962,3599,7537,54614,3616,58230,0.4,0.2,0.1,0.2,0.5,0.5,0.6
W06000023,POWYS,38,40.8,2363.9,4.8,18.7,62,65,405.5,7.7,8.7,165,0.8,2,14.5,14.8,54.1,1934,3806,4909,11203,25723,233,25956,0.4,0.2,0.1,0.2,0.4,0.4,0.7
E07000123,PRESTON,55,78.2,1000,6,18.1,83.2,97.9,409.6,10,13.5,1000,1,2.5,13.6,17.1,90.6,286,1097,2590,7329,35176,1657,36833,0.4,0.4,0.2,0.4,0.5,0.5,0.7
E06000038,READING,71,88.3,1124,6.1,18.1,90.2,107.8,403,10,13.2,180,1,2.3,13.9,16.2,54.8,240,880,2432,8285,42207,2522,44729,0.6,0.4,0.2,0.4,0.5,0.5,0.6
E09000026,REDBRIDGE,72.1,87.9,1000,6.5,18,92.2,109.4,373,10,12.5,180,1,2.3,14,15.6,40.8,289,1176,4302,14471,64771,4212,68983,0.6,0.4,0.2,0.3,0.5,0.5,0.6
E06000003,REDCAR AND CLEVELAND,80,96.3,550,5.8,17.9,104.6,122.5,377.9,10,11.5,75,0.9,1.7,13.2,14.6,34.4,363,1472,2980,7227,35825,2508,38333,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E07000236,REDDITCH,68.7,92.5,1124,5.8,18.7,92.2,112.6,406.1,10,12.8,1000,1,2.9,13.8,15.5,41.4,150,796,1586,3702,22942,1592,24534,0.4,0.2,0.1,0.4,0.5,0.5,0.5
E07000211,REIGATE AND BANSTEAD,54.8,78.1,1000,6.1,19,83.5,99.5,383.1,10,11.8,115,1.1,3.1,13.8,15,35.5,220,1046,2441,9855,37596,2121,39717,0.4,0.2,0.1,0.3,0.5,0.5,0.6
S12000038,RENFREWSHIRE,66.8,89.3,1000,6.2,18.1,94.9,115,389.9,10,11.8,115,1,2.2,13.8,15.3,34.9,367,1383,3756,12309,48265,3538,51803,0.4,0.2,0.1,0.3,0.5,0.5,0.6
W06000016,RHONDDA CYNON TAF,40,49.5,1000,5.6,18.8,60.6,63.4,378.1,10,10.9,115,1,2.8,14.1,14.3,36.3,865,2879,5057,13772,58015,506,58521,0.6,0.4,0.1,0.3,0.6,0.6,0.6
E07000124,RIBBLE VALLEY,40,53.2,1000,5.4,18.7,59,72.2,778.2,10,18,1000,0.9,2.5,14,25.9,661.9,261,727,1194,4974,14314,267,14581,0.4,0.2,0.1,0.3,0.5,0.5,0.5
E09000027,RICHMOND UPON THAMES,76.3,94,1000,6.1,18.3,93.9,112.6,371.9,10,13.5,180,0.9,2.2,14.5,16.2,40.8,285,1049,2840,9688,55333,3988,59321,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E07000166,RICHMONDSHIRE,39.1,40.4,1000,5.2,19.1,56.1,57.4,418.6,9,9.5,1000,0.9,2.7,13.8,14.3,151.3,342,884,1314,4398,10770,38,10808,0.4,0.2,0.1,0.3,0.5,0.5,1
E08000005,ROCHDALE,53.5,71.2,1000,5.8,18.6,77.1,88.6,384.5,10,11.6,115,0.9,2.9,13.7,14.5,34.8,473,2119,4317,10105,54539,2112,56651,0.6,0.4,0.1,0.3,0.6,0.6,0.7
E07000075,ROCHFORD,39.8,48.4,1000,6.3,18.7,56.7,64.9,359,9.8,12.7,180,1,2.9,13.6,17.8,168,170,651,1915,7418,19793,552,20345,0.6,0.4,0.2,0.4,0.6,0.6,0.5
E07000125,ROSSENDALE,40,58.1,1000,4.9,19.8,68.9,77,372.4,10,10.5,220,0.9,3.1,13.5,14.1,35.8,352,1076,1258,4974,17116,470,17586,0.4,0.2,0.1,0.4,0.5,0.5,0.7
E07000064,ROTHER,39.1,42.1,1000,5.7,19.1,55.2,58,372.4,9.1,10.1,220,1,2.8,13.5,14.7,143.3,351,1062,2225,9678,22008,200,22208,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E08000018,ROTHERHAM,44.7,67.2,2363.9,5.8,18.9,76.5,87.9,385.6,10,10.9,115,1,2.8,13.5,14.3,34.9,675,2787,5643,16478,63057,2407,65464,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E07000220,RUGBY,55,74.6,1124,5.4,19.1,79.5,91.3,388.3,10,12.4,180,0.9,3.2,14,15.2,44.5,371,1215,1935,4901,29726,1174,30900,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E07000212,RUNNYMEDE,59.2,80,1000,5.8,18.9,81.9,98.3,374.6,10,12.6,115,1,2.9,14.4,15.5,35,172,704,1430,4235,22278,1320,23598,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000176,RUSHCLIFFE,72.4,88.4,1000,5.7,19.3,89.8,106.3,377,10,13.3,180,1,2.6,13.9,16,50.7,212,640,1318,6243,32307,1970,34277,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E07000092,RUSHMOOR,77,97.9,1000,5.4,18.1,94.5,114.4,377.8,10,13.7,180,0.9,2.6,14,16,42.5,205,861,1194,3299,26630,2004,28634,0.4,0.4,0.1,0.3,0.5,0.5,0.6
E06000017,RUTLAND,39.4,59.8,1000,5.3,19.6,53.5,80.9,362.8,10,22.4,1000,1,3,15,32.2,209.4,129,298,502,3834,8832,856,9688,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E07000167,RYEDALE,39.8,43.4,1000,4.9,19.2,58.2,59.6,404.1,9.9,9.9,115,0.9,2.7,14.1,14.3,54.4,403,931,1156,4535,12577,51,12628,0.4,0.2,0.1,0.3,0.4,0.4,1.3
E08000006,SALFORD,58.3,82.4,2480.86,6.3,17.8,88.1,106,383.7,10,11.8,180,1,2.2,13.8,15.2,36.8,324,1833,5106,15404,61690,3982,65672,0.4,0.4,0.2,0.3,0.5,0.5,0.7
E08000028,SANDWELL,67.4,80.9,1124,6.2,17.3,87.1,100.9,398,10,11.8,75,0.9,2.1,13.9,14.8,34.8,456,2209,6199,14186,75080,3492,78572,0.6,0.4,0.1,0.2,0.6,0.6,0.7
E07000168,SCARBOROUGH,39.8,40.9,1000,5.5,18.7,53.8,55,379.6,10,10,220,0.9,2.4,13.8,14.4,157.8,425,1364,2270,10811,27181,106,27287,0.4,0.2,0.1,0.3,0.4,0.4,0.5
S12000026,SCOTTISH BORDERS,39.1,40.5,1000,5.2,19.1,55.9,57,338.6,9.1,9.2,115,0.8,2.4,13.6,13.7,48.5,818,1941,3013,11120,26545,99,26644,0.4,0.2,0.1,0.2,0.5,0.5,0.8
E07000188,SEDGEMOOR,40,48.2,2480.86,5.5,19.2,56.1,65.4,363.1,10,13.6,1000,0.9,2.8,14.1,19.4,187.6,661,1821,3380,8586,28192,882,29074,0.4,0.2,0.2,0.3,0.5,0.5,0.5
E08000014,SEFTON,57.1,80.5,1000,6.1,18.2,85.8,101.7,386.7,10,11.6,115,1,2.4,13.6,14.7,34.8,469,1954,4720,17475,72600,4042,76642,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000169,SELBY,39.8,45,1000,5.6,19.1,56.4,61,393.2,9.8,10.7,180,0.9,2.8,13.9,15.2,111,420,1162,2247,7306,21023,285,21308,0.4,0.2,0.2,0.3,0.5,0.5,0.7
E07000111,SEVENOAKS,40,56.1,1000,5.8,18.9,66.4,76.4,421.2,10,12.7,1000,1,2.9,14.1,17.8,144.7,373,1286,2637,9828,27895,808,28703,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E08000019,SHEFFIELD,41.7,61.1,1000,5.8,18.3,74.1,81.1,380.6,10,10.6,220,0.9,2.6,13.7,14.2,35.2,1671,6522,12865,32279,125120,2912,128032,0.4,0.2,0.1,0.3,0.5,0.5,0.6
S12000027,SHETLAND ISLANDS,32.3,34.7,330,5.1,19.7,54.6,55,330,7.8,8.5,50,0.6,2.8,13.1,13.1,50,404,556,1109,2326,4764,6,4770,0.4,0.2,0.1,0.3,0.4,0.4,0.7
E06000051,SHROPSHIRE,39.8,44.1,2480.86,5.3,18.8,59.1,61.9,379.9,9.9,10,220,0.9,2.6,14.1,14.6,77.6,1930,5451,8313,25353,69661,629,70290,0.4,0.2,0.1,0.3,0.4,0.4,0.7
E06000039,SLOUGH,67.8,81.3,1000,5.7,17.9,85.5,98.7,372.2,10,12.5,180,1,2.6,14.1,15.1,36.9,340,1078,2046,5527,33642,1625,35267,0.6,0.4,0.1,0.3,0.6,0.6,0.7
E08000029,SOLIHULL,72.2,92.7,1124,5.9,17.7,93.7,113.2,400.3,10,12.5,115,0.9,2.4,13.9,15.3,35.2,387,1909,3870,9634,57591,3899,61490,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E07000246,SOMERSET WEST AND TAUNTON,39.1,41.2,1000,5.2,18.9,56.3,58.3,375.3,9.8,10.1,1000,0.9,2.9,14.2,14.9,133.3,1032,3638,4934,12180,35754,219,35973,0.4,0.2,0.2,0.3,0.5,0.5,0.7
S12000028,SOUTH AYRSHIRE,40,60.1,1000,5.8,19.2,70.5,82.5,382.9,10,10.2,115,1,2.8,13.4,14.2,35.1,445,1425,2981,9850,28502,1138,29640,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E07000012,SOUTH CAMBRIDGESHIRE,55,76.8,1000,5,20,82.2,94.9,372.6,10,12.5,180,1,3.1,13.9,15.4,48.2,513,1509,1864,9408,43104,1958,45062,0.4,0.2,0.1,0.3,0.4,0.4,0.7
E07000039,SOUTH DERBYSHIRE,40,60.6,1000,5.2,19.4,63.8,77.7,375.1,10,14,180,0.9,3.3,13.6,18.3,117.9,463,1478,1953,6127,26083,1219,27302,0.4,0.2,0.2,0.4,0.5,0.5,0.5
E06000025,SOUTH GLOUCESTERSHIRE,73.7,95.8,1000,5.7,18.8,93,116.2,373.6,10,16,300,0.9,2.9,13.7,19.5,84.1,680,2351,4555,12826,75011,6777,81788,0.4,0.2,0.1,0.3,0.4,0.4,0.5
E07000044,SOUTH HAMS,38,43.7,1000,5.2,18.9,62.1,65.8,379.7,8.2,9.1,1000,0.9,2.4,13.6,14.4,80.5,722,2004,2915,9994,20731,246,20977,0.2,0.2,0.1,0.2,0.4,0.4,0.5
E07000140,SOUTH HOLLAND,38.3,40.6,1000,5.6,19.1,55.6,57.6,382.6,8.4,9.2,220,1,2.9,13.4,13.7,55,409,1334,2354,8634,19318,117,19435,0.4,0.2,0.2,0.4,0.5,0.5,0.9
E07000141,SOUTH KESTEVEN,41.7,58.2,2480.86,5.5,19,68,76,385.5,10,11,1000,0.9,2.9,13.7,14.6,49.6,531,1622,2881,10197,36324,932,37256,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000031,SOUTH LAKELAND,39.3,85.5,1000,5.5,19.2,54.4,125.7,983.1,9.8,56.5,1000,1,2.8,13.3,87.2,975,585,1537,2857,10792,25606,2130,27736,0.4,0.2,0.1,0.2,0.4,0.4,0.3
S12000029,SOUTH LANARKSHIRE,58.4,82.7,1000,5.5,18.6,87.4,104.9,386,10,11.9,180,0.9,2.6,13.8,15.1,35.4,1181,3607,6401,19313,89176,5560,94736,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000149,SOUTH NORFOLK,39.8,47.4,1000,5.4,19.4,57.3,64.3,441.1,9.9,12.4,1000,1,3,13.6,17.7,237.1,603,1934,3037,11918,33023,613,33636,0.4,0.2,0.1,0.3,0.5,0.5,0.5
E07000155,SOUTH NORTHAMPTONSHIRE,48.8,59.6,1000,5,19.4,61.8,75.1,388.2,10,18.7,1000,0.9,2.9,15.3,24.3,238.6,411,1117,1340,6001,24652,1042,25694,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000179,SOUTH OXFORDSHIRE,50.8,63,1000,5.7,19.2,68,78.3,413.4,10,15.5,1000,1,2.7,15.1,19.8,172.8,329,1117,2029,9794,39559,1220,40779,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E07000126,SOUTH RIBBLE,54.8,74.8,1000,5.6,18.6,81.5,94.3,383.3,10,11.5,115,0.9,2.8,13.6,14.5,35,327,1183,2235,6261,30013,1322,31335,0.4,0.2,0.2,0.4,0.5,0.5,0.6
E07000189,SOUTH SOMERSET,39.3,40.3,1000,5.2,19.1,54.9,55.3,352.6,9.8,9.4,300,0.9,2.8,13.5,13.6,52.8,826,3088,3888,14063,38089,58,38147,0.4,0.2,0.1,0.3,0.5,0.5,0.8
E07000196,SOUTH STAFFORDSHIRE,40,52.1,1124,5.4,18.9,62.3,69.3,389.2,10,10.6,180,1,2.8,13.9,14.5,42.9,470,1308,2069,8111,25598,559,26157,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E08000023,SOUTH TYNESIDE,71,88.4,484,5.3,18.5,93.6,107.3,374.6,10,11.9,50,0.9,2.8,13.3,14.4,34.2,474,1835,2556,6020,41628,2134,43762,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E06000045,SOUTHAMPTON,57.6,85.4,1124,6.4,17.7,90,111.5,412.4,10,12.2,180,0.9,2.1,13.8,16.1,48,345,1767,5522,14757,57181,4100,61281,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E06000033,SOUTHEND-ON-SEA,54.8,76.2,1000,6.6,17.9,83.5,98.5,389.9,10,13.1,900,1,2.1,14.3,17.1,72.6,236,790,2907,13762,46036,2371,48407,0.4,0.2,0.2,0.3,0.5,0.5,0.7
E09000028,SOUTHWARK,52,64.8,1000,6.2,16.7,79.9,91.6,365.9,10,11.6,180,0.9,1.6,14.3,16.9,75.4,650,2969,8040,21130,60923,2605,63528,0.4,0.2,0.2,0.2,0.5,0.5,0.5
E07000213,SPELTHORNE,60.5,81,1000,6.3,17.2,89,107.7,377.6,10,12.1,115,0.9,2.1,14.8,16.2,36.3,196,1068,3078,5870,24455,1697,26152,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E07000240,ST ALBANS,71.6,87.5,1000,5.8,18.9,90,106.1,379.3,10,12.8,180,1,2.7,14.2,15.5,36.3,278,1067,2239,7176,39743,2348,42091,0.4,0.4,0.2,0.4,0.5,0.5,0.6
E08000013,ST. HELENS,74.9,95.8,1000,5.5,18.3,97.2,118.9,389,10,12.2,115,0.9,2.7,13.5,15.1,34.6,504,2272,3537,8250,48364,3891,52255,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000197,STAFFORD,54.8,76.9,1124,5.3,19.6,82.7,98.2,380.7,10,12.5,180,0.9,3.2,13.5,15.9,58.3,599,1796,2896,7257,35410,1935,37345,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E07000198,STAFFORDSHIRE MOORLANDS,39.8,52.6,1000,5.6,18.5,67.4,74.1,392.8,10,9.7,50,1,2.5,13.6,14,34.7,383,1169,2094,8609,21258,443,21701,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E07000243,STEVENAGE,79.7,104.1,484,5.6,19,99.9,119.4,378.6,10,13.3,50,0.9,2.7,13.8,15.2,34.3,128,761,1220,2449,25289,1904,27193,0.4,0.2,0.1,0.3,0.5,0.5,0.6
S12000030,STIRLING,39.5,52,1000,5.4,19.3,57.4,72.3,552.7,9.8,21.6,900,0.9,2.8,16.9,32.1,520.3,465,1186,2089,8161,20987,651,21638,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E08000007,STOCKPORT,72.3,90.2,1124,6.2,18,92.8,111.4,392.3,10,12.3,115,0.9,2.3,13.9,15.2,34.6,438,1977,5166,16032,79170,5254,84424,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E06000004,STOCKTON-ON-TEES,107,100.3,1000,5.3,17.9,107.9,127.3,377.9,10,11.7,220,0.8,2,13.2,14.8,34.9,655,3163,4338,8195,49674,3846,53520,0.4,0.2,0.2,0.3,0.4,0.5,0.7
