laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E07000068,BRENTWOOD,40,44.7,1000,5.6,19,56.7,57.5,413,10,10.6,200,1,3.2,14,14.1,55.8,275,886,1623,5811,20144,43,20187,0.4,0.4,0.1,0.3,0.6,0.6,1.1
W06000013,BRIDGEND,40,49.7,1000,5.7,18.9,60.7,64.3,421,10,10.6,165,0.9,2.8,13.8,14.1,41.3,430,1725,3365,8941,35106,357,35463,0.6,0.2,0.1,0.3,0.6,0.6,0.7
E06000043,BRIGHTON AND HOVE,76,93.5,2480.86,6.1,17.7,96.2,111.9,368.7,10,12.9,50.01,1,2.2,14.3,15.4,34.5,426,1727,4455,12757,79594,4851,84445,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E06000023,"BRISTOL, CITY OF",79.7,95.3,10000,6.5,17.5,103.1,120.9,377.9,10,11.7,220,1,1.7,13.5,15,36.7,556,2392,8481,26456,112519,7782,120301,0.4,0.2,0.2,0.3,0.4,0.4,0.6
E07000144,BROADLAND,41.8,60.5,1000,5.3,19.4,69.2,79.1,382.5,10,11.3,180,1,3.2,13.6,14.9,54.2,548,1897,2688,8828,33501,1093,34594,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E09000006,BROMLEY,64.4,87.2,1000,6.2,18.3,91.5,109.9,380,10,12,115,1,2.6,13.8,15.1,34.4,500,2229,5785,20121,85548,5829,91377,0.4,0.2,0.2,0.3,0.4,0.4,0.3
E07000234,BROMSGROVE,44,60.8,1124,5.5,18.8,68.3,78.8,382,10,12.8,1000,1,3.4,14.1,16.7,93.9,384,1243,2161,5826,24443,846,25289,0.4,0.2,0.1,0.3,0.5,0.5,0.4
E07000095,BROXBOURNE,76.1,95.6,484,5.3,18.9,92.5,112.6,381,10,13.7,180,0.9,3.1,14.2,16,40.6,251,1018,1422,3213,26877,2010,28887,0.4,0.4,0.1,0.3,0.5,0.5,0.6
E07000172,BROXTOWE,76.4,94.4,1000,5.7,19.1,97.6,113.8,375.9,10,12.2,115,0.9,3.1,13.3,14.6,34.4,223,1039,1940,4805,31285,1932,33217,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E06000060,BUCKINGHAMSHIRE,47.6,66,1124,5.6,19.3,69.7,85.7,368.6,10,15.9,1000,1,3,14.5,21.1,138.7,1700,5926,10724,35413,132579,7489,140068,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E07000117,BURNLEY,69.5,82.8,1124,5.8,18.3,86.5,100.2,408.9,10,11.9,115,0.9,2.6,13.4,14.4,35.3,222,800,1654,3665,24363,1084,25447,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E08000002,BURY,46.4,64.8,1124,6.2,18.6,72.8,83.3,415.2,10,11.3,115,1,3,13.9,14.6,36,349,1568,4301,11874,47887,1526,49413,0.4,0.2,0.1,0.3,0.5,0.6,0.6
W06000018,CAERPHILLY,40,46.1,1000,5.5,19.1,57.4,59.2,390.1,10,10.6,115,0.9,2.9,13.9,14.1,39.7,607,2276,3620,11211,43021,234,43255,0.6,0.4,0.1,0.3,0.7,0.7,0.7
E08000033,CALDERDALE,40,59.1,1000,5.8,18.6,71.8,80.9,388.2,10,10.3,115,0.9,2.7,13.6,14.2,35.1,607,2490,5072,15527,47308,1398,48706,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000008,CAMBRIDGE,79.8,99.9,1000,5.9,17.5,98,115.8,376.6,10,16.6,900,0.9,2.2,13.9,19.3,98.8,181,728,1635,4369,35279,2410,37689,0.4,0.2,0.2,0.3,0.4,0.4,0.6
E09000007,CAMDEN,74,84.9,1000,6.7,17.4,92.4,110,363.5,10,13.7,180,1,1.4,14.4,18.2,72.4,249,707,3033,17007,54329,3785,58114,0.4,0.2,0.1,0.2,0.4,0.4,0.4
E07000192,CANNOCK CHASE,40,54.8,1124,6.3,18.4,64.9,70.1,383.4,10,10.8,50,1,3.1,13.7,14.1,35.1,179,812,2552,6195,25431,421,25852,0.4,0.2,0.2,0.3,0.5,0.5,0.7
E07000106,CANTERBURY,39.1,39.6,1000,5.7,19,53.1,53.7,418.6,9.8,9.5,180,1,3.1,13.5,13.5,61.4,463,1965,3530,12659,32566,51,32617,0.4,0.2,0.2,0.4,0.5,0.5,0.8
W06000015,CARDIFF,74.3,89,1000,5.6,18,90.7,105.2,374.1,10,12.8,220,0.9,2.6,14,15.1,35.5,727,3167,5619,11430,94351,5071,99422,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000028,CARLISLE,49,58.1,1000,5.1,18.8,67.5,74.3,387.6,10,11.6,1000,0.9,2.8,14.4,15,41.8,658,2064,2597,5029,29097,632,29729,0.4,0.2,0.2,0.3,0.5,0.5,0.7
W06000010,CARMARTHENSHIRE,39.8,44.4,2480.86,4.8,18.4,59.2,62.3,424.6,9.8,9.7,115,0.9,2.5,13.8,14.1,43.9,1669,3946,4522,13106,41233,358,41591,0.4,0.2,0.1,0.3,0.4,0.4,0.7
E07000069,CASTLE POINT,42.4,65.4,1000,6.4,18.7,72.1,84.5,383.3,10,11.2,115,1,3.1,13.6,14.5,34.7,145,657,2153,5820,22364,928,23292,0.4,0.2,0.2,0.4,0.5,0.5,0.6
N09000004,CAUSEWAY COAST AND GLENS,40,47.8,1000,5.2,18.6,61.6,63.9,372.9,10,10.2,115,0.9,2.4,13.9,14.1,41.6,810,1842,2763,9987,32373,239,32612,0.4,0.2,0.2,0.3,0.5,0.5,0.8
